title,publishedAt,viewCount,likeCount,commentCount
[ゆっくり実況]Re:ゼロから始めるマリカ生活part2[マリオカート8dx],2022-05-05T10:07:29Z,30031,1058,209
[シャドウバース]もう二度と盤面取れないねえ…混沌無限バハメンコ[ゆっくり実況],2021-09-16T11:00:17Z,333105,2603,310
[シャドウバース]１０ダメージからのPP１０回復！トリプルカラトOTK！[ゆっくり実況],2019-12-13T10:09:52Z,77406,754,149
[シャドウバース]疾走する4体のダリス！霊道ダリスOTK！ [ゆっくり実況],2020-01-01T11:16:45Z,82300,849,198
[シャドウバース]王に全てを託す！マリスゴースト骸OTK！[ゆっくり実況],2019-09-03T10:28:39Z,111167,1042,222
[シャドウバース]ロキとグレモリーの合わせ技！！5連トリニティモンスターズOTK！[ゆっくり実況],2020-10-03T10:00:31Z,72245,864,183
[シャドウバース]無限にPPを踏み倒す圧倒的ソリティア！！絶尽の崇拝者OTK！[ゆっくり実況],2022-02-18T11:14:16Z,74495,1053,160
[シャドウバース]体力最大値がー１！守護もカットも不可能なルーゼンOTK！[ゆっくり実況],2020-06-26T11:35:16Z,88493,1108,242
[シャドウバース]マスターコック単体OTKでゆっくりユウキとマスターコックの歴史的和解[ゆっくり実況],2021-08-20T10:10:14Z,70705,871,245
[シャドウバース]守護持ちダゴンで絶対守護者！！ジャイアントマッチダゴンチャット！[ゆっくり実況],2020-12-09T10:50:13Z,61718,946,237
[シャドウバース]1ターンにエリカを5体出して勝ち！！５連エリカOTK！[ゆっくり実況],2021-08-27T11:50:32Z,71633,901,215
[シャドウバース]圧倒的スタッツの暴力！マジカルラットパメラ！[ゆっくり実況],2019-12-29T12:31:12Z,119229,1075,197
[シャドウバース]1コスト3ダメージのぶっ壊れスペルを7発撃ってOTK！！マンハッタンカフェ霊体の侵入OTK！[ゆっくり実況],2022-04-20T11:20:15Z,54180,879,137
[シャドウバース]ジャスティーを増殖してエイラを連続起動！！星灯りの女神単体OTK！[ゆっくり実況],2021-02-05T09:29:58Z,85629,1104,274
[シャドウバース]破壊消滅耐性持ちの４０/４０守護！！絶対守護者式神貴人！[ゆっくり実況],2022-01-02T11:02:55Z,87411,1269,168
[シャドウバース]クリスマス特別記念！！新旧サタンOTK！[ゆっくり実況],2021-12-24T11:10:03Z,68083,1089,192
[シャドウバース]頂きの教会で覚醒！！3連フラミンゴOTK！[ゆっくり実況],2021-11-10T11:34:27Z,75522,1035,174
[シャドウバース]守護もアミュレットも全部消滅からの２０点疾走！！竜喰らう禁忌OTK！[ゆっくり実況],2020-10-18T09:59:57Z,77541,903,164
[ゆっくり実況]Re:ゼロから始めるマリカ生活part1[マリオカート8DX],2022-04-30T10:47:37Z,39003,1835,450
[シャドウバース]攻撃力20のコープスドッグ！完全体コープスドッグOTK！[ゆっくり実況],2019-10-25T10:31:09Z,62184,645,178
[シャドウバース]選択不可にしたチャットで無限に守護モルディカイを出す！[ゆっくり実況],2020-01-17T12:45:17Z,98337,773,240
[シャドウバース]分身の術の間違った使い方！5連クイブレOTK！[ゆっくり実況],2019-12-07T12:20:11Z,114910,928,245
[シャドウバース]4回攻撃とシンシアの圧倒的シナジー！リナ＆レナOTK！[ゆっくり実況],2019-02-25T09:56:06Z,45570,416,79
[シャドウバース]お手軽２０点バーン！！マグナゼロ単体OTK！[ゆっくり実況],2021-04-03T10:15:02Z,91329,1159,358
[シャドウバース]プルソンで出すもヨシ！０コストにして出すもヨシ！！４連大悪魔OTK！[ゆっくり実況],2020-11-20T10:20:00Z,84928,946,223
[シャドウバース]崇拝エイラと圧倒的シナジー！！マックイーンOTK！[ゆっくり実況],2022-04-16T11:31:48Z,54838,781,127
[ゆっくり実況]2周連続同じ所でテレサに盗まれることある？[マリオカート8DX],2022-05-26T11:22:57Z,22612,544,131
[ゆっくり実況]サンダーっていつもそうですね！私たちのこと何だと思ってるんですか！？[マリオカート8DX],2022-06-01T11:31:43Z,22235,629,199
[シャドウバース]出走する5人のテイオー！！トウカイテイオーOTK！[ゆっくり実況],2022-04-08T11:54:39Z,90472,1046,177
[シャドウバース]攻撃力２０の疾走ウーノ！！ウーノ単体OTK！[ゆっくり実況],2021-03-23T11:00:03Z,55008,608,195
[ゆっくり実況]赤甲羅を叩き割られる衝撃のコース[マリオカート8DX],2022-06-11T11:39:46Z,20499,466,133
【ゆっくり実況】生か死か！？ゴールライン上でくらう青甲羅【マリオカート8DX】,2022-06-28T12:01:42Z,17237,381,126
[シャドウバース]疾走する安らぎの女王！天空城安らぎの女王OTK！[ゆっくり実況],2020-07-13T08:59:51Z,78055,952,254
ゆっくりユウキチャンネルシャドバ動画の自己紹介まとめ,2022-01-31T10:03:34Z,52653,1756,498
[シャドウバース]６ターン目に冥府４枚起動！６ターンネフティス冥府OTK！[ゆっくり実況],2020-08-24T09:45:10Z,65035,986,246
[シャドウバース]芸術点重視コンボ！リナ＆レナ＆シンシア＆レイナOTK！ [ゆっくり実況],2019-12-17T12:49:57Z,48623,711,177
[シャドウバース]ソニック・フォーを10発撃ってOTK！[ゆっくり実況],2021-07-07T12:00:56Z,98860,1058,327
[シャドウバース]攻撃力２０のラスティナ爆弾！！ラスティナOTK！[ゆっくり実況],2020-12-31T10:30:56Z,119173,1267,200
[シャドウバース]骸の王５体で圧倒的盤面！新骸島！[ゆっくり実況],2020-02-18T12:20:09Z,136591,1122,210
[シャドウバース]チャンネル登録者数３００００人記念！！スタッツ３万星灯りさん！[ゆっくり実況],2021-05-25T11:30:17Z,172975,2466,469
[シャドウバース]上方修正＋天窮ワールドブレイクで最強と化したローウェン[ゆっくり実況],2021-10-29T11:26:51Z,96099,1110,252
[シャドウバース]コキュートスデッキ全て引いて特殊勝利！！戴冠サタン魔海クロノススパルタクス！[ゆっくり実況],2021-10-12T10:30:01Z,127008,1650,251
[シャドウバース]ガルグイユは５体並べれば勝ち！！５連ガルグイユOTK！[ゆっくり実況],2021-02-19T11:41:10Z,79217,880,250
[シャドウバース]超運ゲーOTK！ダブル天翼OTK！[ゆっくり実況],2020-03-23T11:39:11Z,50584,581,162
[シャドウバース]4ターン目にホズミを2回起動させて40コスト踏み倒し！！4ターンホズミOTK！[ゆっくり実況],2022-04-01T10:00:00Z,94466,1364,192
[シャドウバース]攻撃力20の二コラを顔面にシュート！ゾディアック二コラOTK！[ゆっくり実況],2019-06-16T10:56:41Z,115624,957,237
[シャドウバース]破壊したら負け！破壊しなくても負け！！絶対守護者5連天窮ラスティナ！[ゆっくり実況],2021-03-14T09:59:57Z,154541,1230,260
[シャドウバース]全体１６ダメージからのOTK！！４連アンヴェルトOTK！[ゆっくり実況],2020-10-22T09:19:57Z,63778,821,194
[シャドウバース]２回攻撃で攻撃力超強化！二刀流カゲミツOTK！[ゆっくり実況],2020-01-22T12:33:15Z,88130,776,180
[シャドウバース]攻撃力２０のクイックブレーダー！！ヴァルフリートを活かしたクイブレ単体OTK！[ゆっくり実況],2020-11-23T11:25:09Z,99597,980,190
[シャドウバース]シャム＆シャマ５連打！！５連シャム＆シャマOTK！[ゆっくり実況],2020-09-30T10:44:54Z,71464,822,210
[シャドウバース]ヘヴンリーイージス5体！ジャイアントマッチで無敵艦隊[ゆっくり実況],2020-07-01T10:10:35Z,145969,1320,292
[シャドウバース]相手フォロワー全破壊からの20ダメージ！！スピリットイーターOTK！と個人的名シーン総集編[ゆっくり実況],2021-12-30T10:20:25Z,93298,1622,345
[シャドウバース]ラティカ全員集合！！3種のラティカOTK！[ゆっくり実況],2021-07-20T11:00:09Z,61468,1081,282
[シャドウバース]育てた目玉が疾走する！粛清のマルドッキオOTK！[ゆっくり実況],2019-03-16T08:59:31Z,69963,537,59
[シャドウバース]1ターンで墓地を30増やし冥府を5枚設置！！ワールドブレイク冥府OTK！[ゆっくり実況],2021-05-08T11:00:01Z,157215,1395,380
[シャドウバース]出走する5人のサイレンススズカ！！サイレンススズカOTK！[ゆっくり実況],2022-04-25T11:18:01Z,43583,801,166
[シャドウバース]圧倒的スタッツの暴力！！100/100開闢の預言者！[ゆっくり実況],2021-08-18T11:30:04Z,103243,1189,277
[シャドウバース]お前は伝説の目撃者となる！！5連レジェンダリーファイターOTK！[ゆっくり実況],2021-12-14T10:46:09Z,86286,1078,162
[シャドウバース]ソウルガイドスキン化記念！！エイミーOTK！[ゆっくり実況],2021-12-21T11:11:49Z,79295,1158,253
【ゆっくり実況】そんなピンポイントでボム兵飛んでくることある？【マリオカート8DX】,2022-07-22T11:36:58Z,13741,343,119
[シャドウバース]圧倒的展開力からのバフ！ダブルシンシアOTK！[ゆっくり実況],2019-03-29T08:02:49Z,42910,356,87
[シャドウバース]５ターン目に体力最大値を－２１する！悪魔の鍵ルーゼンOTK！[ゆっくり実況],2020-07-08T10:50:08Z,101079,1175,229
[シャドウバース]ミルティオスキン化記念！！4ターンミルティオOTK！[ゆっくり実況],2022-03-04T11:10:44Z,67006,1196,234
[シャドウバース]バフドラゴンの極み！！天窮スペシャルウィーク！[ゆっくり実況],2022-04-12T11:12:26Z,70762,936,149
[シャドウバース]１ターンにナイフトリック１０発撃って勝ち！！ヴィンセントナイフトリックOTK！[ゆっくり実況],2021-02-14T11:29:59Z,98286,1096,307
[シャドウバース]どんな盤面も1体になるまで強制破壊からの疾走２０点！！マーロン単体OTK！[ゆっくり実況],2021-08-15T11:37:03Z,99145,962,164
[シャドウバース]ガルラ全員集合！３種のガルラOTK！[ゆっくり実況],2020-06-10T11:38:32Z,56020,1090,353
[シャドウバース]レリックゴッデスを的にしてギンセツ延々強化！！ギンセツ単体OTK！[ゆっくり実況],2021-09-12T11:10:21Z,100443,1228,233
[シャドウバース]オズで未来への飛翔を１コストで使用！！４連グラン＆ジータOTK！[ゆっくり実況],2021-01-23T10:35:33Z,87783,895,233
[シャドウバース]ぶっ壊れ45点疾走！！ジャイアントマッチアブソリュートトレランスOTK！[ゆっくり実況],2021-05-21T12:00:05Z,121505,1137,257
[シャドウバース]ラティカさん４ターン目にOTK出来てしまう[ゆっくり実況],2021-07-02T09:31:23Z,120438,1398,333
[シャドウバース]確定で貫通20ダメージ！マシンランスエルフOTK！[ゆっくり実況],2019-05-14T09:01:21Z,106367,788,152
